409,Cap,Pau,Undirected,0.05,Rev,1993
410,Cap,Chit,Undirected,0.05,Rev,1993
411,Cap,Gue,Undirected,0.05,Rev,1993
412,San,Gue,Directed,0.075,Res,1993
413,Biz,Ch,Undirected,0.05,Rev,1993
414,Gue,Chit,Undirected,0.05,Rev,1993
415,Pau,Sam,Undirected,0.05,Rev,1993
416,Chit,Ch,Undirected,0.05,Rev,1993
417,Pau,Biz,Undirected,0.05,Rev,1993
418,Cap,Biz,Undirected,0.05,Rev,1993
419,Chit,Ch,Undirected,0.05,Rev,1993
420,Chit,Biz,Undirected,0.05,Rev,1993
421,Chit,Cap,Undirected,0.05,Rev,1993
422,Gue,Ch,Undirected,0.05,Rev,1993
423,Gue,Biz,Undirected,0.05,Rev,1993
424,Gue,Chit,Undirected,0.05,Rev,1993
425,Pau,Ch,Undirected,0.05,Rev,1993
426,Pau,Biz,Undirected,0.05,Rev,1993
427,Pau,Cap,Undirected,0.05,Rev,1993
428,Pau,Chit,Undirected,0.05,Rev,1993
429,Pau,Gue,Undirected,0.05,Rev,1993
430,Pau,Ch,Undirected,0.05,Rev,1993
431,Ch,Dor,Undirected,0.05,Rev,1993
432,Ch,Biz,Undirected,0.05,Rev,1993
433,Sam,Dor,Undirected,0.05,Rev,1993
434,Sam,Biz,Undirected,0.05,Rev,1993
435,Sam,Ch,Undirected,0.05,Rev,1993
436,Iba,Dor,Undirected,0.05,Rev,1993
437,Iba,Biz,Undirected,0.05,Rev,1993
438,Pau,Dor,Undirected,0.05,Rev,1993
439,Iba,Ch,Undirected,0.05,Rev,1993
440,Iba,Sam,Undirected,0.05,Rev,1993
441,Biz,Dor,Undirected,0.05,Rev,1993
442,Gue,Biz,Undirected,0.083,Obr,1994
443,Chit,Biz,Undirected,0.083,Obr,1995
444,Fei,Pau,Undirected,0.083,Obr,1995
445,Fei,Ch,Undirected,0.083,Obr,1995
446,Ch,Biz,Undirected,0.083,Obr,1995
447,Pau,Ch,Undirected,0.083,Obr,1995
448,Pau,Biz,Undirected,0.083,Obr,1995
449,Chit,Ch,Undirected,0.083,Obr,1995
450,Fei,Biz,Undirected,0.083,Obr,1995
451,Chit,Pau,Undirected,0.083,Obr,1995
452,Gue,Ch,Undirected,0.083,Obr,1995
453,Gue,Biz,Undirected,0.083,Obr,1995
454,Gue,Pau,Undirected,0.083,Obr,1995
455,Gue,Fei,Undirected,0.083,Obr,1995
456,Gue,Chit,Undirected,0.083,Obr,1995
457,San,Coh,Undirected,0.05,Bec,1995
458,Cap,Coh,Undirected,0.05,Bec,1995
459,Cap,San,Undirected,0.05,Bec,1995
460,Chit,Fei,Undirected,0.083,Obr,1995
461,Lib,Forn,Undirected,0.058,Ant,1996
462,Lib,Fre,Undirected,0.058,Ant,1996
463,Chit,Gue,Undirected,0.058,Ant,1996
464,Gue,Fre,Undirected,0.058,Ant,1996
465,Chit,Fre,Undirected,0.058,Ant,1996
466,Gue,Forn,Undirected,0.058,Ant,1996
467,Lib,Gue,Undirected,0.058,Ant,1996
468,Chit,Forn,Undirected,0.058,Ant,1996
469,Lib,Chit,Undirected,0.058,Ant,1996
470,Forn,Fre,Undirected,0.058,Ant,1996
471,Fei,Biz,Undirected,0.083,Obr,1996
472,Pau,Biz,Undirected,0.083,Obr,1996
473,Chit,Fei,Undirected,0.083,Obr,1996
474,Chit,Pau,Undirected,0.083,Obr,1996
475,Chit,Biz,Undirected,0.083,Obr,1996
476,Chit,Gue,Undirected,0.083,Obr,1996
477,Gue,Pau,Undirected,0.083,Obr,1996
478,Gue,Biz,Undirected,0.083,Obr,1996
479,Fei,Pau,Undirected,0.083,Obr,1996
480,Gue,Fei,Undirected,0.083,Obr,1996
481,Pau,Cap,Directed,0.075,Res,1999
482,Pau,Ch,Undirected,0.066,Cri,2001
483,Chit,Gue,Undirected,0.058,Ant,2001
